,Unnamed: 0,sentence,language,set,gold_amr,parsed_amr,smatch
10,10,Wer entwickelte Skype?,de,train,"# ::snt Wer entwickelte Skype?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Wer entwickelte Skype?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854125
(z0 / entwine-01
    :ARG1 (z1 / company
              :wiki ""Skype""
              :name (z2 / name
                        :op1 ""Skype""))
    :ARG2 (z3 / amr-unknown))",0.63
11,11,Wer hat Skype entwickelt?,de,train,"# ::snt Wer hat Skype entwickelt?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Wer hat Skype entwickelt?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854153
(z0 / entwine-01
    :ARG1 (z1 / company
              :wiki ""Skype""
              :name (z2 / name
                        :op1 ""Skype""))
    :ARG2 (z3 / amr-unknown))",0.63
12,12,Кто разработал скайп,ru,train,"# ::snt Кто разработал скайп
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Кто разработал скайп
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854182
(z0 / кто)",0.18
13,13,Кто создал Скайп?,ru,train,"# ::snt Кто создал Скайп?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Кто создал Скайп?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854208
(z0 / amr-unintelligible
    :value ""Кто""
    :polarity (z1 / amr-unknown))",0.29
14,14,Кто разработал Skype?,ru,train,"# ::snt Кто разработал Skype?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Кто разработал Skype?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854236
(z0 / amr-unintelligible
    :value ""Кто""
    :op2 ""разработал""
    :op3 ""Skype"")",0.14
15,15,Хто розробив скайп,uk,train,"# ::snt Хто розробив скайп
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Хто розробив скайп
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854264
(z0 / thing)",0.18
16,16,Kas sukūrė „Skype“?,lt,train,"# ::snt Kas sukūrė „Skype“?
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Kas sukūrė „Skype“?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854291
(z0 / sukūrė
    :domain (z1 / product
                :wiki ""Skype""
                :name (z2 / name
                          :op1 ""Skype""))
    :polarity (z3 / amr-unknown))",0.63
17,17,Хто распрацаваў скайп,be,train,"# ::snt Хто распрацаваў скайп
(d / develop-02
      :ARG0 (a / amr-unknown)
      :ARG1 (p / product :name (n / name :op1 ""Skype"")))","# ::snt Хто распрацаваў скайп
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854318
(z0 / Хто)",0.18
18,18,Which people were born in Heraklion?,en,train,"# ::snt Which people were born in Heraklion?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Which people were born in Heraklion?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854345
(z0 / bear-02
    :ARG1 (z1 / amr-unknown)
    :location (z2 / city
                  :wiki ""Heraklion""
                  :name (z3 / name
                            :op1 ""Heraklion"")))",0.76
19,19,Qui est né à Heraklion ?,fr,train,"# ::snt Qui est né à Heraklion ?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Qui est né à Heraklion ?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854372
(z0 / est-02
    :ARG1 (z1 / amr-unknown)
    :ARG2 (z2 / be-located-at-91
              :ARG1 z1
              :ARG2 (z3 / city
                        :wiki ""Heraklion""
                        :name (z4 / name
                                  :op1 ""Heraklion""))))",0.5
20,20,Welche Personen wurden in Heraklion geboren?,de,train,"# ::snt Welche Personen wurden in Heraklion geboren?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Welche Personen wurden in Heraklion geboren?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854400
(z0 / wurden-01
    :ARG1 (z1 / person)
    :location (z2 / city
                  :wiki ""Heraklion""
                  :name (z3 / name
                            :op1 ""Heraklion""
                            :op2 ""Geboren""))
    :polarity (z4 / amr-unknown))",0.75
21,21,Welche Menschen wurden in Heraklion geboren?,de,train,"# ::snt Welche Menschen wurden in Heraklion geboren?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Welche Menschen wurden in Heraklion geboren?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854429
(z0 / wurden-01
    :ARG1 (z1 / Menschen)
    :location (z2 / city
                  :wiki ""Heraklion""
                  :name (z3 / name
                            :op1 ""Heraklion""
                            :op2 ""Geboren""))
    :polarity (z4 / amr-unknown))",0.67
22,22,Кто родился в Ираклионе,ru,train,"# ::snt Кто родился в Ираклионе
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Кто родился в Ираклионе
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854458
(z0 / amr-unintelligible
    :value ""родился"")",0.14
23,23,Кто был рожден в Гераклионе?,ru,train,"# ::snt Кто был рожден в Гераклионе?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Кто был рожден в Гераклионе?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854485
(z0 / amr-unintelligible
    :value ""рожден"")",0.14
24,24,Какие люди родились в Ираклионе?,ru,train,"# ::snt Какие люди родились в Ираклионе?
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Какие люди родились в Ираклионе?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854517
(z0 / amr-unintelligible
    :value ""родились""
    :polarity (z1 / amr-unknown))",0.25
25,25,Хто народився в Іракліоні,uk,train,"# ::snt Хто народився в Іракліоні
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Хто народився в Іракліоні
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854564
(z0 / amr-unintelligible
    :value ""Хто""
    :op2 ""народився"")",0.13
26,26,Kas gimė Heraklione,lt,train,"# ::snt Kas gimė Heraklione
(b / bear-02
      :ARG1 (p / person
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Heraklion"")))","# ::snt Kas gimė Heraklione
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854594
(z0 / person
    :wiki -
    :name (z1 / name
              :op1 ""Kas""
              :op2 ""Gimė""
              :op3 ""Heraklione""))",0.21
27,27,In which U.S. state is Area 51 located?,en,train,"# ::snt In which U.S. state is Area 51 located?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt In which U.S. state is Area 51 located?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854635
(z0 / be-located-at-91
    :ARG1 (z1 / area
              :mod 51
              :part-of (z2 / state
                           :part-of (z3 / country
                                        :wiki ""United_States""
                                        :name (z4 / name
                                                  :op1 ""U.S.""))))
    :ARG2 (z5 / amr-unknown))",0.52
28,28,Dans quel Etat des Etats-Unis se situe l'Area 51 ?,fr,train,"# ::snt Dans quel Etat des Etats-Unis se situe l'Area 51 ?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt Dans quel Etat des Etats-Unis se situe l'Area 51 ?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854663
(z0 / situate-01
    :ARG1 (z1 / city-district
              :wiki -
              :name (z2 / name
                        :op1 ""Etat""
                        :op2 ""des""
                        :op3 ""Etats-Unis""))
    :ARG2 (z3 / area
              :mod 51)
    :polarity (z4 / amr-unknown))",0.32
29,29,In welchem Bundesstaat liegt Area 51?,de,train,"# ::snt In welchem Bundesstaat liegt Area 51?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt In welchem Bundesstaat liegt Area 51?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854694
(z0 / be-located-at-91
    :ARG2 (z1 / country-region
              :wiki ""Bundesstag""
              :name (z2 / name
                        :op1 ""Bundesstag"")
              :ARG1-of (z3 / lie-07
                           :ARG2 (z4 / area
                                     :mod 51)))
    :polarity (z5 / amr-unknown))",0.26
30,30,In welchem US Bundesstaat liegt Area 51?,de,train,"# ::snt In welchem US Bundesstaat liegt Area 51?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt In welchem US Bundesstaat liegt Area 51?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854725
(z0 / lie-07
    :ARG1 (z1 / country-region
              :wiki ""Bundesstaat""
              :name (z2 / name
                        :op1 ""Bundesstaat"")
              :part-of (z3 / country
                           :wiki ""United_States""
                           :name (z4 / name
                                     :op1 ""US"")))
    :ARG2 (z5 / country-region
              :wiki ""Wilchem""
              :name (z6 / name
                        :op1 ""Welchem"")
              :part-of (z7 / country-region
                           :wiki ""Area_51""
                           :name (z8 / name
                                     :op1 ""Area""
                                     :op2 51)))
    :polarity (z9 / amr-unknown))",0.39
31,31,"В каком штате США находится военная база ""Зона 51""",ru,train,"# ::snt В каком штате США находится военная база ""Зона 51""
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt В каком штате США находится военная база ""Зона 51""
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854756
(z0 / string-entity
    :value ""Зона"")",0.1
32,32,В каком штате США находится Зона 51?,ru,train,"# ::snt В каком штате США находится Зона 51?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt В каком штате США находится Зона 51?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854789
(z0 / каком)",0.11
33,33,"У якому штаті США знаходиться військова база """"Зона 51""""",uk,train,"# ::snt У якому штаті США знаходиться військова база """"Зона 51""""
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt У якому штаті США знаходиться військова база """"Зона 51""""
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854819
(z0 / string-entity
    :value ""якому_штаті"")",0.1
34,34,Kurioje JAV valstijoje yra 51 zona?,lt,train,"# ::snt Kurioje JAV valstijoje yra 51 zona?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt Kurioje JAV valstijoje yra 51 zona?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854848
(z0 / valstijoje
    :wiki ""Kurioje""
    :name (z2 / name
              :op1 ""Kurioje""))",0.17
35,35,"Kurioje JAV valstijoje yra karinė bazė ""51 zona""",lt,train,"# ::snt Kurioje JAV valstijoje yra karinė bazė ""51 zona""
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt Kurioje JAV valstijoje yra karinė bazė ""51 zona""
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854882
(z0 / valstijoje
    :mod (z7 / country-region
             :wiki ""JAV""
             :name (z8 / name
                       :op1 ""JAV"")))",0.24
36,36,"У якім штаце ЗША знаходзіцца ваенная база ""Зона 51""",be,train,"# ::snt У якім штаце ЗША знаходзіцца ваенная база ""Зона 51""
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt У якім штаце ЗША знаходзіцца ваенная база ""Зона 51""
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854911
(z0 / string-entity
    :value ""Зона"")",0.1
37,37,Who is the mayor of New York City?,en,train,"# ::snt Who is the mayor of New York City?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Who is the mayor of New York City?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854940
(z0 / have-org-role-91
    :ARG0 (z1 / amr-unknown)
    :ARG1 (z2 / city
              :wiki ""New_York_City""
              :name (z3 / name
                        :op1 ""New""
                        :op2 ""York""))
    :ARG2 (z4 / mayor))",0.92
38,38,Нью-Йорктың меры кем?,ba,train,"# ::snt Нью-Йорктың меры кем?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Нью-Йорктың меры кем?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854968
(z0 / have-mod-91
    :ARG2 (z1 / кем)
    :polarity (z2 / amr-unknown))",0.32
39,39,Qui est le maire de la cité de New York ?,fr,train,"# ::snt Qui est le maire de la cité de New York ?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Qui est le maire de la cité de New York ?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.854996
(z0 / person
    :ARG0-of (z1 / have-rel-role-91
                 :ARG1 (z2 / city
                           :wiki ""New_York_City""
                           :name (z3 / name
                                     :op1 ""New""
                                     :op2 ""York""))
                 :ARG2 (z4 / maire
                           :mod (z5 / cité)))
    :domain (z6 / amr-unknown))",0.53
40,40,Wer ist der Bürgermeister von New York City?,de,train,"# ::snt Wer ist der Bürgermeister von New York City?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Wer ist der Bürgermeister von New York City?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.855026
(z0 / person
    :ARG0-of (z1 / have-org-role-91
                 :ARG1 (z2 / city
                           :wiki ""New_York_City""
                           :name (z3 / name
                                     :op1 ""New""
                                     :op2 ""York""
                                     :op3 ""City""))
                 :ARG2 (z4 / mayor))
    :domain (z5 / amr-unknown))",0.76
41,41,Кто является мэром Нью-Йорка,ru,train,"# ::snt Кто является мэром Нью-Йорка
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Кто является мэром Нью-Йорка
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.855054
(z0 / amr-unintelligible
    :value ""является"")",0.12
42,42,Кто мер Нью Йорка?,ru,train,"# ::snt Кто мер Нью Йорка?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Кто мер Нью Йорка?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.855086
(z0 / amr-unintelligible
    :value ""Кто"")",0.12
43,43,Хто є мером Нью-Йорка,uk,train,"# ::snt Хто є мером Нью-Йорка
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Хто є мером Нью-Йорка
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.855114
(z0 / amr-unintelligible
    :value ""Хто"")",0.12
44,44,Kas yra Niujorko meras?,lt,train,"# ::snt Kas yra Niujorko meras?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Kas yra Niujorko meras?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.855142
(z0 / person
    :wiki -
    :name (z1 / name
              :op1 ""Kas""
              :op2 ""Yra""
              :op3 ""Niujorko""
              :op4 ""Meras"")
    :polarity (z2 / amr-unknown))",0.25
45,45,Хто з'яўляецца мэрам Нью-Ёрка,be,train,"# ::snt Хто з'яўляецца мэрам Нью-Ёрка
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Хто з'яўляецца мэрам Нью-Ёрка
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.855170
(z0 / amr-unintelligible
    :value ""Хто"")",0.12
46,46,Which countries have places with more than two caves?,en,train,"# ::snt Which countries have places with more than two caves?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt Which countries have places with more than two caves?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.855198
(z0 / have-03
    :ARG0 (z1 / country
              :mod (z2 / amr-unknown))
    :ARG1 (z3 / place
              :ARG0-of (z4 / have-03
                           :ARG1 (z5 / cave
                                     :quant (z6 / more-than
                                                :op1 2)))))",1.0
47,47,Ҡайһы илдәрҙә ике мәмерйәнән дә күберәк урындар бар?,ba,train,"# ::snt Ҡайһы илдәрҙә ике мәмерйәнән дә күберәк урындар бар?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt Ҡайһы илдәрҙә ике мәмерйәнән дә күберәк урындар бар?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.855227
(z0 / thing
    :polarity (z1 / amr-unknown)
    :domain (z2 / string-entity
                :value ""Ҡайһы""))",0.18
48,48,In welchen Ländern gibt es Orte mit mehr als zwei Höhlen?,de,train,"# ::snt In welchen Ländern gibt es Orte mit mehr als zwei Höhlen?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt In welchen Ländern gibt es Orte mit mehr als zwei Höhlen?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.855256
(z0 / have-03
    :ARG0 (z1 / city
              :wiki ""Orte""
              :name (z2 / name
                        :op1 ""Orte""))
    :ARG1 (z3 / höhlen
              :quant (z4 / more-than
                         :op1 2))
    :polarity (z5 / amr-unknown)
    :location (z6 / state
                  :wiki ""Ländern""
                  :name (z7 / name
                            :op1 ""Ländern"")))",0.39
49,49,In welche Ländern gibt es mehr als 2 Höhlen?,de,train,"# ::snt In welche Ländern gibt es mehr als 2 Höhlen?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt In welche Ländern gibt es mehr als 2 Höhlen?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.855284
(z0 / gibt
    :ARG1 (z1 / event
              :quant 2
              :mod (z2 / mehr-than))
    :polarity (z3 / amr-unknown)
    :location (z4 / state
                  :wiki ""Ländern""
                  :name (z5 / name
                            :op1 ""Ländern"")))",0.2
50,50,В каких странах есть места с более чем двумя пещерами,ru,train,"# ::snt В каких странах есть места с более чем двумя пещерами
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt В каких странах есть места с более чем двумя пещерами
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.855312
(z0 / have-mod-91
    :ARG2 (z1 / странах))",0.11
51,51,В каких странах находится более двух пещер?,ru,train,"# ::snt В каких странах находится более двух пещер?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt В каких странах находится более двух пещер?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.855340
(z0 / каких)",0.12
52,52,"В каких странах есть места с количеством пещер больше, чем две?",ru,train,"# ::snt В каких странах есть места с количеством пещер больше, чем две?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt В каких странах есть места с количеством пещер больше, чем две?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.855369
(z0 / have-mod-91
    :ARG2 (z1 / странах)
    :polarity (z2 / amr-unknown))",0.19
