,sentence,language,set,gold_amr,parsed_amr,smatch
28,Dans quel Etat des Etats-Unis se situe l'Area 51 ?,fr,train,"# ::snt Dans quel Etat des Etats-Unis se situe l'Area 51 ?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt In welchem Bundesstaat liegt Area 51?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))",0.32
29,In welchem Bundesstaat liegt Area 51?,de,train,"# ::snt In welchem Bundesstaat liegt Area 51?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt In welchem US Bundesstaat liegt Area 51?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))",0.26
30,In welchem US Bundesstaat liegt Area 51?,de,train,"# ::snt In welchem US Bundesstaat liegt Area 51?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt Kurioje JAV valstijoje yra 51 zona?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))",0.39
31,"В каком штате США находится военная база ""Зона 51""",ru,train,"# ::snt В каком штате США находится военная база ""Зона 51""
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt Kurioje JAV valstijoje yra karinė bazė ""51 zona""
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))",0.1
32,В каком штате США находится Зона 51?,ru,train,"# ::snt В каком штате США находится Зона 51?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt В каком штате США находится военная база ""Зона 51""
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))",0.11
33,"У якому штаті США знаходиться військова база """"Зона 51""""",uk,train,"# ::snt У якому штаті США знаходиться військова база """"Зона 51""""
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt В каком штате США находится Зона 51?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))",0.1
34,Kurioje JAV valstijoje yra 51 zona?,lt,train,"# ::snt Kurioje JAV valstijoje yra 51 zona?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt У якому штаті США знаходиться військова база """"Зона 51""""
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))",0.17
35,"Kurioje JAV valstijoje yra karinė bazė ""51 zona""",lt,train,"# ::snt Kurioje JAV valstijoje yra karinė bazė ""51 zona""
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt У якім штаце ЗША знаходзіцца ваенная база ""Зона 51""
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))",0.24
36,"У якім штаце ЗША знаходзіцца ваенная база ""Зона 51""",be,train,"# ::snt У якім штаце ЗША знаходзіцца ваенная база ""Зона 51""
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))","# ::snt Dans quel Etat des Etats-Unis se situe l'Area 51 ?
(l / locate-01
      :ARG1 (f / facility :name (n / name :op1 ""Area"" :op2 ""51""))
      :location (s / state
            :mod (a / amr-unknown)
            :mod (c / country :name (n2 / name :op1 ""U.S.""))))",0.1
37,Who is the mayor of New York City?,en,train,"# ::snt Who is the mayor of New York City?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Who is the mayor of New York City?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))",0.92
38,Нью-Йорктың меры кем?,ba,train,"# ::snt Нью-Йорктың меры кем?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Wer ist der Bürgermeister von New York City?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))",0.32
39,Qui est le maire de la cité de New York ?,fr,train,"# ::snt Qui est le maire de la cité de New York ?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Kas yra Niujorko meras?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))",0.53
40,Wer ist der Bürgermeister von New York City?,de,train,"# ::snt Wer ist der Bürgermeister von New York City?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Кто является мэром Нью-Йорка
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))",0.76
41,Кто является мэром Нью-Йорка,ru,train,"# ::snt Кто является мэром Нью-Йорка
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Кто мер Нью Йорка?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))",0.12
42,Кто мер Нью Йорка?,ru,train,"# ::snt Кто мер Нью Йорка?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Хто є мером Нью-Йорка
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))",0.12
43,Хто є мером Нью-Йорка,uk,train,"# ::snt Хто є мером Нью-Йорка
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Хто з'яўляецца мэрам Нью-Ёрка
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))",0.12
44,Kas yra Niujorko meras?,lt,train,"# ::snt Kas yra Niujorko meras?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Нью-Йорктың меры кем?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))",0.25
45,Хто з'яўляецца мэрам Нью-Ёрка,be,train,"# ::snt Хто з'яўляецца мэрам Нью-Ёрка
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))","# ::snt Qui est le maire de la cité de New York ?
(h / have-org-role-91
      :ARG0 (a / amr-unknown)
      :ARG1 (c / city :name (n / name :op1 ""New"" :op2 ""York"" :op3 ""City""))
      :ARG2 (m / mayor))",0.12
46,Which countries have places with more than two caves?,en,train,"# ::snt Which countries have places with more than two caves?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt Which countries have places with more than two caves?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))",1.0
47,Ҡайһы илдәрҙә ике мәмерйәнән дә күберәк урындар бар?,ba,train,"# ::snt Ҡайһы илдәрҙә ике мәмерйәнән дә күберәк урындар бар?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt In welchen Ländern gibt es Orte mit mehr als zwei Höhlen?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))",0.18
48,In welchen Ländern gibt es Orte mit mehr als zwei Höhlen?,de,train,"# ::snt In welchen Ländern gibt es Orte mit mehr als zwei Höhlen?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt In welche Ländern gibt es mehr als 2 Höhlen?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))",0.39
49,In welche Ländern gibt es mehr als 2 Höhlen?,de,train,"# ::snt In welche Ländern gibt es mehr als 2 Höhlen?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt Kurios šalys turi vietas su daugiau nei dviem urvų?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))",0.2
50,В каких странах есть места с более чем двумя пещерами,ru,train,"# ::snt В каких странах есть места с более чем двумя пещерами
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt Kuriose šalyse yra daugiau nei dviejų urvų?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))",0.11
51,В каких странах находится более двух пещер?,ru,train,"# ::snt В каких странах находится более двух пещер?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt Kuriose šalyse yra vietų, kuriose yra daugiau nei du urvai
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))",0.12
52,"В каких странах есть места с количеством пещер больше, чем две?",ru,train,"# ::snt В каких странах есть места с количеством пещер больше, чем две?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt В каких странах есть места с более чем двумя пещерами
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))",0.19
53,В яких країнах є місця з більш ніж двома печерами ,uk,train,"# ::snt В яких країнах є місця з більш ніж двома печерами 
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt В каких странах находится более двух пещер?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))",0.12
54,У яких країнах є місця з більш ніж двома печерами,uk,train,"# ::snt У яких країнах є місця з більш ніж двома печерами
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt В каких странах есть места с количеством пещер больше, чем две?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))",0.11
55,Kurios šalys turi vietas su daugiau nei dviem urvų?,lt,train,"# ::snt Kurios šalys turi vietas su daugiau nei dviem urvų?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt В яких країнах є місця з більш ніж двома печерами 
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))",0.11
56,Kuriose šalyse yra daugiau nei dviejų urvų?,lt,train,"# ::snt Kuriose šalyse yra daugiau nei dviejų urvų?
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))","# ::snt У яких країнах є місця з більш ніж двома печерами
(h / have-03
      :ARG0 (c / country
            :mod (a / amr-unknown))
      :ARG1 (p / place
            :ARG0-of (h2 / have-03
                  :ARG1 (c2 / cave
                        :quant (m / more-than :op1 2)))))",0.16
